	Length
count	9857.0
mean	91.8514761083494
std	67.14841286845957
min	5.0
25%	60.0
50%	85.0
75%	110.0
max	3955.0
mode	95.0
ATACseq_overlap	0.1710211368434898
ATACseq_ranges_overlap	0.13786697298371955
ATACseq_Jaccard	0.08264053532094694
DNAseq_overlap	0.19015368985886352
DNAseq_ranges_overlap	0.25966003225165124
DNAseq_Jaccard	0.12330314012829052
genes_overlap	0.737463827343215
percentage_open	0.009531592922592754
percentage_open_adj	0.009842448744892106
model_name	k-means
boxplot_json	"{""mean"":91.8514761083,""iqr"":50.0,""cilo"":84.2093263268,""cihi"":85.7906736732,""whishi"":185,""whislo"":5,""fliers"":[215,235,210,200,225,240,210,220,190,205,240,205,215,200,215,205,225,210,225,210,210,260,320,240,190,205,270,215,235,215,225,200,190,205,210,270,190,190,260,190,285,230,205,200,245,200,210,205,315,200,190,195,310,195,195,210,250,190,215,460,245,285,205,245,195,230,240,255,195,250,340,195,310,220,225,195,265,280,210,205,235,220,205,215,215,230,190,195,290,210,210,250,385,315,230,225,245,225,190,215,245,275,195,210,230,210,235,210,230,215,315,210,245,280,200,270,215,265,330,190,200,190,345,205,190,205,215,240,195,230,240,265,220,265,190,295,235,215,210,300,255,190,735,190,245,205,655,410,290,230,285,205,290,280,245,410,190,215,265,260,225,210,215,205,200,220,195,260,295,260,190,210,260,215,225,195,245,190,235,195,220,240,225,210,245,200,305,215,235,235,225,190,390,195,195,330,215,205,250,210,195,275,195,250,240,355,340,190,195,205,210,210,225,200,265,255,305,205,230,260,405,190,240,270,205,230,200,310,235,200,195,310,205,215,290,285,240,210,190,220,225,300,245,295,305,205,260,190,245,195,200,245,270,210,225,290,215,245,270,195,190,205,250,210,240,200,200,250,225,325,230,250,265,380,375,235,200,230,305,370,295,190,200,190,195,195,205,265,320,190,195,260,300,210,255,245,365,335,255,470,245,210,205,205,195,205,270,220,275,235,220,190,265,210,245,215,220,320,235,190,200,205,285,265,215,335,220,290,270,250,275,235,250,240,295,330,265,215,235,215,260,390,220,340,315,305,210,270,315,445,190,245,370,245,330,250,240,285,3955,1470,195,190,210,200,310,205,390,320,245,270,225,195,220,290,255,190,310,195,245,260,255,215,220,190,290,460,290,280,250,235,245,250,375,285,190,205,195,210,335,205,205,240,190,195,215,195,215,195,205,240,210,210,225,445,195,195,190,265,360,245,220,230,260,200,270,220,210,285,220,300,265,325,210,240,210,215,245,255,220,315,305,325,220,210,200,265,215,255,295,295,435,220,290,245,210,230,220,335,215,285,190,195,240,230,305,285,245,195,230,210,230,545,195,210,280,190,260,255,195,205,190,280,335,410,250,190,280,205,210,215,320,210,320,305,230,230,230,225,240,210,205,240,210,290,280,240,190,245,190,195,345,305,210,270,430,480,205,235,190,190,300,260,190,210,230,215,380,215,435,240,215,205,190,190,275,215,360,210],""q1"":60.0,""med"":85.0,""q3"":110.0}"
