	Length
count	7858.0
mean	139.7543904301349
std	94.58572141650201
min	75.0
25%	90.0
50%	105.0
75%	150.0
max	1025.0
mode	95.0
ATACseq_overlap	0.4093214238973956
ATACseq_ranges_overlap	0.20505468088400003
ATACseq_Jaccard	0.158122463825613
DNAseq_overlap	0.3631142517862715
DNAseq_ranges_overlap	0.294594742257715
DNAseq_Jaccard	0.1941324791658666
genes_overlap	0.7034911991549732
percentage_open	0.012181289092275059
percentage_open_adj	0.01260059209553369
model_name	k-means processed
boxplot_json	"{""mean"":139.7543904301,""iqr"":60.0,""cilo"":103.9373386368,""cihi"":106.0626613632,""whishi"":240,""whislo"":75,""fliers"":[245,405,525,250,550,325,425,495,270,495,595,255,340,355,540,325,275,315,320,275,255,620,515,270,450,380,260,255,245,410,760,470,280,260,250,720,320,300,430,325,290,375,305,265,340,310,715,295,275,415,375,250,355,350,320,400,310,490,285,275,320,915,245,370,300,315,345,1025,250,260,405,455,325,650,335,295,375,300,255,310,260,540,745,570,485,325,370,250,370,575,290,260,310,625,590,355,320,350,480,245,305,275,620,550,325,295,310,395,245,400,250,325,245,480,405,260,290,290,455,245,245,285,250,265,360,895,455,475,305,250,360,320,360,275,315,280,335,310,340,330,270,320,320,505,245,325,635,435,250,415,310,265,680,245,570,275,500,255,330,325,310,255,260,370,670,550,250,370,270,340,265,330,410,310,320,535,350,715,270,485,365,615,245,355,335,295,305,330,530,285,265,280,375,395,405,390,305,490,260,265,285,345,295,375,310,565,470,395,440,460,245,295,670,375,310,375,695,480,315,270,555,305,500,335,645,290,315,315,395,555,285,345,480,320,270,355,375,390,265,270,245,310,385,265,305,295,255,400,470,330,490,350,280,250,320,520,280,285,300,285,295,300,660,600,340,370,325,890,250,420,745,405,475,435,245,245,350,300,255,245,590,325,580,245,280,480,255,760,380,265,325,345,285,775,340,500,515,325,865,285,755,355,390,315,290,295,380,260,290,320,385,355,345,265,250,385,255,380,580,250,335,265,530,255,295,645,255,290,290,395,310,635,305,295,250,250,410,500,275,245,410,275,270,350,365,265,285,405,270,285,290,250,250,375,295,285,635,265,255,330,490,290,250,245,295,375,935,630,510,315,580,360,285,320,325,275,255,375,660,295,250,295,255,595,425,335,310,695,530,265,280,480,375,380,425,480,335,245,520,435,490,550,390,355,1015,350,295,395,300,290,255,400,560,300,380,505,390,335,290,490,370,245,505,360,325,660,335,325,245,370,275,310,245,335,730,250,250,315,590,270,300,320,245,345,490,400,250,250,330,370,260,270,380,280,790,360,345,295,285,340,660,320,245,670,450,345,275,245,290,450,250,270,315,280,365,750,245,520,435,255,375,450,265,285,375,390,420,260,305,265,320,275,265,300,525,320,275,245,310,260,285,510,375,290,505,550,350,260,330,275,370,365,255,390,275,250,270,260,335,540,320,430,395,305,280,275,265,705,355,340,250,580,290,335,360,285,550,360,375,245,720,325,300,365,245,245,310,300,300,375,245,575,335,255,300,355,375,350,245,260,310,315,290,350,260,290,285,485,430,440,495,275,410,255,650,290,255,275,445,415,315,420,250,355,260,485,280,305,400,300,440,440,340,370,430,365,310,360,335,260,310,330,295,305,315,625,305,370,265,310,330,280,260,260,350,255,310,265,755,315,290,480,420,295,250,425,510,345,475,870,585,340,295,270,280,320,340,325,265,525,420,275,295,265,300,375,405,325,255,330,285,390,255,245,260,400,300,250,305,275,245,310,245,370,260,280,360,270,555,265,455,315,305,315,290,335,305,485,350,350,245,310,670,275,505,280,340,400,395,790,425,275,260,420,345,275,355,380,360,270,270,405,265,405,285,255,275,375,295,250,365,250,325,290,525,585,290,350,485,280,260,270,400,410,455,490,295,325,405,430,880,325,280,245,280,545,255,380,320,430,255,570,335,280,315,360,995,280,670,245,845,345,425,245,250,245,305,300,440,335,475,315,305,415,305,245,545,295,290,515,325,320,300,305,365,430,290,370,265,260,325,375,405,350,260,610,325,310,285,350,245,295,245,305,385,480],""q1"":90.0,""med"":105.0,""q3"":150.0}"
