	Chromosome	gene_id	Length	open_S1	Stage	gene_name
0	3	ENSMUSG00000000562	105.0	0.0525	NPC	Adora3
1	3	ENSMUSG00000001023	0.0	0.0	NPC	S100a5
2	3	ENSMUSG00000001865	0.0	0.0	NPC	Cpa3
3	3	ENSMUSG00000011008	681.0	0.3405	NPC	Mcoln2
4	3	ENSMUSG00000011463	0.0	0.0	NPC	Cpb1
5	3	ENSMUSG00000012042	0.0	0.0	NPC	4930579F01Rik
6	3	ENSMUSG00000015852	0.0	0.0	NPC	Fcrls
7	3	ENSMUSG00000015854	0.0	0.0	NPC	Cd5l
8	3	ENSMUSG00000023057	0.0	0.0	NPC	Fabp2
9	3	ENSMUSG00000027528	0.0	0.0	NPC	Fabp9
10	3	ENSMUSG00000027530	125.0	0.0625	NPC	Fabp12
11	3	ENSMUSG00000027556	0.0	0.0	NPC	Car1
12	3	ENSMUSG00000027564	0.0	0.0	NPC	Cypt12
13	3	ENSMUSG00000027606	0.0	0.0	NPC	Dnajc5b
14	3	ENSMUSG00000027761	0.0	0.0	NPC	Aadac
15	3	ENSMUSG00000027762	0.0	0.0	NPC	Sucnr1
16	3	ENSMUSG00000027776	360.0	0.18	NPC	Il12a
17	3	ENSMUSG00000027788	0.0	0.0	NPC	Otol1
18	3	ENSMUSG00000027790	0.0	0.0	NPC	Sis
19	3	ENSMUSG00000027801	0.0	0.0	NPC	Tm4sf4
20	3	ENSMUSG00000027869	100.0	0.05	NPC	Hsd3b6
21	3	ENSMUSG00000027870	0.0	0.0	NPC	Hao2
22	3	ENSMUSG00000027876	0.0	0.0	NPC	Reg4
23	3	ENSMUSG00000027880	180.0	0.09	NPC	Slc25a54
24	3	ENSMUSG00000027902	0.0	0.0	NPC	Chil6
25	3	ENSMUSG00000027908	0.0	0.0	NPC	Tchhl1
26	3	ENSMUSG00000027912	0.0	0.0	NPC	Lce1m
27	3	ENSMUSG00000027919	0.0	0.0	NPC	Lce1g
28	3	ENSMUSG00000027923	0.0	0.0	NPC	Lce1b
29	3	ENSMUSG00000027925	0.0	0.0	NPC	Sprr2j-ps
30	3	ENSMUSG00000027927	85.0	0.0425	NPC	Lelp1
31	3	ENSMUSG00000027973	0.0	0.0	NPC	1700006A11Rik
32	3	ENSMUSG00000028004	715.0	0.3575	NPC	Npy2r
33	3	ENSMUSG00000028008	0.0	0.0	NPC	Asic5
34	3	ENSMUSG00000028011	0.0	0.0	NPC	Tdo2
35	3	ENSMUSG00000028116	170.0	0.085	NPC	Myoz2
36	3	ENSMUSG00000028148	100.0	0.05	NPC	Them5
37	3	ENSMUSG00000028174	0.0	0.0	NPC	Rpe65
38	3	ENSMUSG00000028185	0.0	0.0	NPC	Dnase2b
39	3	ENSMUSG00000034139	0.0	0.0	NPC	Serpini2
40	3	ENSMUSG00000036951	0.0	0.0	NPC	Aadacl2fm1
41	3	ENSMUSG00000037797	0.0	0.0	NPC	Adh4
42	3	ENSMUSG00000038997	200.0	0.1	NPC	Asb17
43	3	ENSMUSG00000039146	85.0	0.0425	NPC	Ifi44l
44	3	ENSMUSG00000039174	0.0	0.0	NPC	1700003H04Rik
45	3	ENSMUSG00000039335	0.0	0.0	NPC	Spata16
46	3	ENSMUSG00000039710	0.0	0.0	NPC	Slc7a12
47	3	ENSMUSG00000040086	0.0	0.0	NPC	Tnni3k
48	3	ENSMUSG00000040600	225.0	0.1125	NPC	Eps8l3
49	3	ENSMUSG00000040747	0.0	0.0	NPC	Cd53
50	3	ENSMUSG00000040809	0.0	0.0	NPC	Chil3
51	3	ENSMUSG00000042031	0.0	0.0	NPC	Lce3b
52	3	ENSMUSG00000042092	0.0	0.0	NPC	Lce1c
53	3	ENSMUSG00000042124	0.0	0.0	NPC	Lce1f
54	3	ENSMUSG00000042157	0.0	0.0	NPC	Sprr2i
55	3	ENSMUSG00000042212	0.0	0.0	NPC	Sprr2d
56	3	ENSMUSG00000042244	0.0	0.0	NPC	Pglyrp3
57	3	ENSMUSG00000042250	0.0	0.0	NPC	Pglyrp4
58	3	ENSMUSG00000043020	185.0	0.0925	NPC	Wdr63
59	3	ENSMUSG00000043164	0.0	0.0	NPC	Tmem212
60	3	ENSMUSG00000043441	136.0	0.068	NPC	Gpr149
61	3	ENSMUSG00000043472	0.0	0.0	NPC	Lce3d
62	3	ENSMUSG00000043529	0.0	0.0	NPC	Olfr266
63	3	ENSMUSG00000043873	0.0	0.0	NPC	Chil5
64	3	ENSMUSG00000045475	0.0	0.0	NPC	Lce3c
65	3	ENSMUSG00000045539	0.0	0.0	NPC	Sprr3
66	3	ENSMUSG00000045566	0.0	0.0	NPC	Sprr4
67	3	ENSMUSG00000046259	0.0	0.0	NPC	Sprr2h
68	3	ENSMUSG00000046676	0.0	0.0	NPC	Lce1l
69	3	ENSMUSG00000047940	480.0	0.24	NPC	Stpg2
70	3	ENSMUSG00000048031	95.0	0.0475	NPC	Fcrl5
71	3	ENSMUSG00000048455	0.0	0.0	NPC	Sprr1b
72	3	ENSMUSG00000049128	0.0	0.0	NPC	Ivl
73	3	ENSMUSG00000049133	0.0	0.0	NPC	Flg2
74	3	ENSMUSG00000049349	893.0	0.4465	NPC	Gm5105
75	3	ENSMUSG00000049593	0.0	0.0	NPC	Lce1h
76	3	ENSMUSG00000050635	0.0	0.0	NPC	Sprr2f
77	3	ENSMUSG00000051036	80.0	0.04	NPC	Ttc24
78	3	ENSMUSG00000051392	0.0	0.0	NPC	Olfr1402
79	3	ENSMUSG00000051638	95.0	0.0475	NPC	Gm9857
80	3	ENSMUSG00000051788	0.0	0.0	NPC	4930564D02Rik
81	3	ENSMUSG00000052468	0.0	0.0	NPC	Pmp2
82	3	ENSMUSG00000053054	80.0	0.04	NPC	Adh6a
83	3	ENSMUSG00000053706	500.0	0.25	NPC	B430305J03Rik
84	3	ENSMUSG00000054215	0.0	0.0	NPC	Sprr2k
85	3	ENSMUSG00000054325	0.0	0.0	NPC	Lce3a
86	3	ENSMUSG00000055030	0.0	0.0	NPC	Sprr2e
87	3	ENSMUSG00000055138	0.0	0.0	NPC	Gm4861
88	3	ENSMUSG00000056054	0.0	0.0	NPC	S100a8
89	3	ENSMUSG00000056071	0.0	0.0	NPC	S100a9
90	3	ENSMUSG00000056270	0.0	0.0	NPC	Prr9
91	3	ENSMUSG00000057609	0.0	0.0	NPC	Lce1a1
92	3	ENSMUSG00000059832	0.0	0.0	NPC	Kprp
93	3	ENSMUSG00000059994	85.0	0.0425	NPC	Fcrl1
94	3	ENSMUSG00000060913	0.0	0.0	NPC	Trim55
95	3	ENSMUSG00000062200	80.0	0.04	NPC	Vmn2r7
96	3	ENSMUSG00000062778	0.0	0.0	NPC	Chia1
97	3	ENSMUSG00000063779	0.0	0.0	NPC	Chil4
98	3	ENSMUSG00000063954	235.0	0.1175	NPC	H2ac19
99	3	ENSMUSG00000068885	0.0	0.0	NPC	Lce3f
100	3	ENSMUSG00000068887	0.0	0.0	NPC	Lce1j
101	3	ENSMUSG00000068888	22.0	0.011	NPC	Lce1i
102	3	ENSMUSG00000068889	0.0	0.0	NPC	Lce1e
103	3	ENSMUSG00000068890	0.0	0.0	NPC	Lce1a2
104	3	ENSMUSG00000068999	0.0	0.0	NPC	Vmn2r5
