	Chromosome	gene_id	Length	open_S2	Stage	gene_name
0	3	ENSMUSG00000090733	620.0	0.31	NC	Rps27
1	3	ENSMUSG00000037894	715.0	0.3575	NC	H2az1
2	3	ENSMUSG00000028081	824.0	0.412	NC	Rps3a1
3	3	ENSMUSG00000062006	1140.0	0.57	NC	Rpl34
4	3	ENSMUSG00000053931	620.0	0.31	NC	Cnn3
5	3	ENSMUSG00000001416	1175.0	0.5875	NC	Cct3
6	3	ENSMUSG00000004897	784.0	0.392	NC	Hdgf
7	3	ENSMUSG00000103034	0.0	0.0	NC	Gm8797
8	3	ENSMUSG00000004885	1191.0	0.5955	NC	Crabp2
9	3	ENSMUSG00000033161	932.0	0.466	NC	Atp1a1
10	3	ENSMUSG00000005779	725.0	0.3625	NC	Psmb4
11	3	ENSMUSG00000068744	715.0	0.3575	NC	Psrc1
12	3	ENSMUSG00000000563	1140.0	0.57	NC	Atp5pb
13	3	ENSMUSG00000068823	994.0	0.497	NC	Csde1
14	3	ENSMUSG00000055436	880.0	0.44	NC	Srsf11
15	3	ENSMUSG00000041355	0.0	0.0	NC	Ssr2
16	3	ENSMUSG00000027940	0.0	0.0	NC	Tpm3
17	3	ENSMUSG00000038393	965.0	0.4825	NC	Txnip
18	3	ENSMUSG00000068739	752.0	0.376	NC	Sars
19	3	ENSMUSG00000005625	465.0	0.2325	NC	Psmd4
20	3	ENSMUSG00000027500	688.0	0.344	NC	Stmn2
21	3	ENSMUSG00000028034	1055.0	0.5275	NC	Fubp1
22	3	ENSMUSG00000039221	670.0	0.335	NC	Rpl22l1
23	3	ENSMUSG00000028138	1180.0	0.59	NC	Adh5
24	3	ENSMUSG00000053398	970.0	0.485	NC	Phgdh
25	3	ENSMUSG00000059743	910.0	0.455	NC	Fdps
26	3	ENSMUSG00000001016	520.0	0.26	NC	Ilf2
27	3	ENSMUSG00000027673	1440.0	0.72	NC	Ndufb5
28	3	ENSMUSG00000027828	1025.0	0.5125	NC	Ssr3
29	3	ENSMUSG00000008604	1074.0	0.537	NC	Ubqln4
30	3	ENSMUSG00000027680	325.0	0.1625	NC	Fxr1
31	3	ENSMUSG00000037072	1138.0	0.569	NC	Selenof
32	3	ENSMUSG00000078578	948.0	0.474	NC	Ube2d3
33	3	ENSMUSG00000001017	740.0	0.37	NC	Chtop
34	3	ENSMUSG00000028029	846.0	0.423	NC	Aimp1
35	3	ENSMUSG00000041959	698.0	0.349	NC	S100a10
36	3	ENSMUSG00000028134	375.0	0.1875	NC	Ptbp2
37	3	ENSMUSG00000028044	1270.0	0.635	NC	Cks1b
38	3	ENSMUSG00000068749	925.0	0.4625	NC	Psma5
39	3	ENSMUSG00000074637	1497.0	0.7485	NC	Sox2
40	3	ENSMUSG00000027893	1285.0	0.6425	NC	Ahcyl1
41	3	ENSMUSG00000028059	359.0	0.1795	NC	Arhgef2
42	3	ENSMUSG00000042520	1043.0	0.5215	NC	Ubap2l
43	3	ENSMUSG00000001415	995.0	0.4975	NC	Smg5
44	3	ENSMUSG00000027715	950.0	0.475	NC	Ccna2
45	3	ENSMUSG00000028062	918.0	0.459	NC	Lamtor2
46	3	ENSMUSG00000027671	0.0	0.0	NC	Actl6a
47	3	ENSMUSG00000027533	1176.0	0.588	NC	Fabp5
48	3	ENSMUSG00000015749	554.0	0.277	NC	Anp32e
49	3	ENSMUSG00000032826	991.0	0.4955	NC	Ank2
50	3	ENSMUSG00000074480	1215.0	0.6075	NC	Mex3a
51	3	ENSMUSG00000041084	755.0	0.3775	NC	Ostc
52	3	ENSMUSG00000008958	340.0	0.17	NC	Vps72
53	3	ENSMUSG00000019710	595.0	0.2975	NC	Mrpl24
54	3	ENSMUSG00000038612	771.0	0.3855	NC	Mcl1
55	3	ENSMUSG00000028066	920.0	0.46	NC	Pmf1
56	3	ENSMUSG00000064068	1163.0	0.5815	NC	Mtx1
57	3	ENSMUSG00000000001	900.0	0.45	NC	Gnai3
58	3	ENSMUSG00000038975	710.0	0.355	NC	Rabggtb
59	3	ENSMUSG00000028180	803.0	0.4015	NC	Zranb2
60	3	ENSMUSG00000027804	985.0	0.4925	NC	Ppid
61	3	ENSMUSG00000028049	1200.0	0.6	NC	Scamp3
62	3	ENSMUSG00000025764	315.0	0.1575	NC	Jade1
63	3	ENSMUSG00000002227	963.0	0.4815	NC	Mov10
64	3	ENSMUSG00000027998	600.0	0.3	NC	Plrg1
65	3	ENSMUSG00000054312	660.0	0.33	NC	Mrps21
66	3	ENSMUSG00000005687	550.0	0.275	NC	Bcas2
67	3	ENSMUSG00000068923	210.0	0.105	NC	Syt11
68	3	ENSMUSG00000027810	735.0	0.3675	NC	Eif2a
69	3	ENSMUSG00000014601	1085.0	0.5425	NC	Strip1
70	3	ENSMUSG00000027984	780.0	0.39	NC	Hadh
71	3	ENSMUSG00000027944	815.0	0.4075	NC	Hax1
72	3	ENSMUSG00000028070	645.0	0.3225	NC	Naxe
73	3	ENSMUSG00000068523	640.0	0.32	NC	Gng5
74	3	ENSMUSG00000028137	633.0	0.3165	NC	Celf3
75	3	ENSMUSG00000038374	820.0	0.41	NC	Rbm8a
76	3	ENSMUSG00000027852	820.0	0.41	NC	Nras
77	3	ENSMUSG00000027805	355.0	0.1775	NC	Pfn2
78	3	ENSMUSG00000068740	650.0	0.325	NC	Celsr2
79	3	ENSMUSG00000028093	1115.0	0.5575	NC	Acp6
80	3	ENSMUSG00000027562	491.0	0.2455	NC	Car2
81	3	ENSMUSG00000004895	1160.0	0.58	NC	Prcc
82	3	ENSMUSG00000028060	935.0	0.4675	NC	Khdc4
83	3	ENSMUSG00000068917	550.0	0.275	NC	Clk2
84	3	ENSMUSG00000027752	1318.0	0.659	NC	Exosc8
85	3	ENSMUSG00000048540	335.0	0.1675	NC	Nhlh2
86	3	ENSMUSG00000053192	115.0	0.0575	NC	Mllt11
87	3	ENSMUSG00000032902	1131.0	0.5655	NC	Slc16a1
88	3	ENSMUSG00000000561	1420.0	0.71	NC	Wdr77
89	3	ENSMUSG00000002233	778.0	0.389	NC	Rhoc
90	3	ENSMUSG00000042572	941.0	0.4705	NC	Ube2q1
91	3	ENSMUSG00000028078	765.0	0.3825	NC	Dclk2
92	3	ENSMUSG00000027751	750.0	0.375	NC	Supt20
93	3	ENSMUSG00000038619	740.0	0.37	NC	Ensa
94	3	ENSMUSG00000034349	1106.0	0.553	NC	Smc4
95	3	ENSMUSG00000027829	1205.0	0.6025	NC	Ccnl1
96	3	ENSMUSG00000028184	691.0	0.3455	NC	Adgrl2
97	3	ENSMUSG00000027881	939.0	0.4695	NC	Prpf38b
98	3	ENSMUSG00000027933	855.0	0.4275	NC	Ints3
99	3	ENSMUSG00000068856	1020.0	0.51	NC	Sf3b4
100	3	ENSMUSG00000027942	550.0	0.275	NC	4933434E20Rik
101	3	ENSMUSG00000040943	557.0	0.2785	NC	Tet2
102	3	ENSMUSG00000015714	760.0	0.38	NC	Cers2
103	3	ENSMUSG00000078784	770.0	0.385	NC	Rbis
104	3	ENSMUSG00000037643	940.0	0.47	NC	Prkci
105	3	ENSMUSG00000000339	660.0	0.33	NC	Rtca
106	3	ENSMUSG00000062908	930.0	0.465	NC	Acadm
107	3	ENSMUSG00000039756	595.0	0.2975	NC	Dnttip2
108	3	ENSMUSG00000042390	1011.0	0.5055	NC	Gatad2b
109	3	ENSMUSG00000057777	727.0	0.3635	NC	Mab21l2
110	3	ENSMUSG00000087260	570.0	0.285	NC	Lamtor5
111	3	ENSMUSG00000075700	465.0	0.2325	NC	Selenot
112	3	ENSMUSG00000028032	935.0	0.4675	NC	Papss1
113	3	ENSMUSG00000027699	950.0	0.475	NC	Ect2
114	3	ENSMUSG00000028156	742.0	0.371	NC	Eif4e
115	3	ENSMUSG00000004891	1270.0	0.635	NC	Nes
116	3	ENSMUSG00000038902	435.0	0.2175	NC	Pogz
117	3	ENSMUSG00000048039	565.0	0.2825	NC	Isg20l2
118	3	ENSMUSG00000040269	635.0	0.3175	NC	Mrps28
119	3	ENSMUSG00000039735	885.0	0.4425	NC	Fnbp1l
120	3	ENSMUSG00000027952	200.0	0.1	NC	Pmvk
121	3	ENSMUSG00000068747	610.0	0.305	NC	Sort1
122	3	ENSMUSG00000028107	0.0	0.0	NC	Tars2
123	3	ENSMUSG00000042747	989.0	0.4945	NC	Krtcap2
124	3	ENSMUSG00000068921	390.0	0.195	NC	Dap3
125	3	ENSMUSG00000015697	210.0	0.105	NC	Setdb1
126	3	ENSMUSG00000028013	445.0	0.2225	NC	Ppa2
127	3	ENSMUSG00000027506	718.0	0.359	NC	Tpd52
128	3	ENSMUSG00000027663	1340.0	0.67	NC	Zmat3
129	3	ENSMUSG00000054199	215.0	0.1075	NC	Gon4l
130	3	ENSMUSG00000089911	614.0	0.307	NC	Mfsd14a
131	3	ENSMUSG00000005813	600.0	0.3	NC	Metap1
132	3	ENSMUSG00000028140	590.0	0.295	NC	Mrpl9
133	3	ENSMUSG00000027996	1405.0	0.7025	NC	Sfrp2
134	3	ENSMUSG00000046722	1115.0	0.5575	NC	Cdc42se1
135	3	ENSMUSG00000070372	1359.0	0.6795	NC	Capza1
136	3	ENSMUSG00000028010	735.0	0.3675	NC	Gar1
137	3	ENSMUSG00000027667	855.0	0.4275	NC	Zfp639
138	3	ENSMUSG00000074238	740.0	0.37	NC	Ap1ar
139	3	ENSMUSG00000015745	690.0	0.345	NC	Plekho1
140	3	ENSMUSG00000027777	235.0	0.1175	NC	Schip1
141	3	ENSMUSG00000042626	1270.0	0.635	NC	Shc1
142	3	ENSMUSG00000037400	475.0	0.2375	NC	Atp11b
143	3	ENSMUSG00000068922	1230.0	0.615	NC	Msto1
144	3	ENSMUSG00000027889	1090.0	0.545	NC	Ampd2
145	3	ENSMUSG00000028271	625.0	0.3125	NC	Gtf2b
146	3	ENSMUSG00000027660	461.0	0.2305	NC	Skil
147	3	ENSMUSG00000008730	410.0	0.205	NC	Hipk1
148	3	ENSMUSG00000049230	0.0	0.0	NC	Gm9833
149	3	ENSMUSG00000028063	845.0	0.4225	NC	Lmna
150	3	ENSMUSG00000015748	650.0	0.325	NC	Prpf3
151	3	ENSMUSG00000027601	690.0	0.345	NC	Mtfr1
152	3	ENSMUSG00000028099	755.0	0.3775	NC	Polr3c
153	3	ENSMUSG00000041220	788.0	0.394	NC	Elovl6
154	3	ENSMUSG00000027993	80.0	0.04	NC	Trim2
155	3	ENSMUSG00000015943	825.0	0.4125	NC	Bola1
156	3	ENSMUSG00000028173	695.0	0.3475	NC	Wls
157	3	ENSMUSG00000052310	1205.0	0.6025	NC	Slc39a1
158	3	ENSMUSG00000027706	583.0	0.2915	NC	Sec62
159	3	ENSMUSG00000027951	760.0	0.38	NC	Adar
160	3	ENSMUSG00000063273	320.0	0.16	NC	Naa15
161	3	ENSMUSG00000069094	865.0	0.4325	NC	Pde7a
162	3	ENSMUSG00000039795	620.0	0.31	NC	Zfand1
163	3	ENSMUSG00000091512	650.0	0.325	NC	Lamtor3
164	3	ENSMUSG00000027712	1053.0	0.5265	NC	Anxa5
165	3	ENSMUSG00000028195	1180.0	0.59	NC	Ccn1
166	3	ENSMUSG00000004032	475.0	0.2375	NC	Gstm5
167	3	ENSMUSG00000034317	755.0	0.3775	NC	Trim59
168	3	ENSMUSG00000025437	590.0	0.295	NC	Usp33
169	3	ENSMUSG00000033767	996.0	0.498	NC	Tmem131l
170	3	ENSMUSG00000015522	720.0	0.36	NC	Arnt
171	3	ENSMUSG00000001025	910.0	0.455	NC	S100a6
172	3	ENSMUSG00000028149	855.0	0.4275	NC	Rap1gds1
173	3	ENSMUSG00000037152	1000.0	0.5	NC	Ndufc1
174	3	ENSMUSG00000027968	805.0	0.4025	NC	Larp7
175	3	ENSMUSG00000038777	1485.0	0.7425	NC	Sema6c
176	3	ENSMUSG00000005034	670.0	0.335	NC	Prkacb
177	3	ENSMUSG00000028048	355.0	0.1775	NC	Gba
178	3	ENSMUSG00000047824	435.0	0.2175	NC	Pygo2
179	3	ENSMUSG00000044864	865.0	0.4325	NC	Ankrd50
180	3	ENSMUSG00000033285	1074.0	0.537	NC	Wdr3
181	3	ENSMUSG00000038861	955.0	0.4775	NC	Pi4kb
182	3	ENSMUSG00000038712	790.0	0.395	NC	Mindy1
183	3	ENSMUSG00000028266	700.0	0.35	NC	Lmo4
184	3	ENSMUSG00000001052	350.0	0.175	NC	Sec24b
185	3	ENSMUSG00000028136	525.0	0.2625	NC	Snx27
186	3	ENSMUSG00000060671	1187.0	0.5935	NC	Atp8b2
187	3	ENSMUSG00000028187	610.0	0.305	NC	Rpf1
188	3	ENSMUSG00000027937	635.0	0.3175	NC	Jtb
189	3	ENSMUSG00000058135	900.0	0.45	NC	Gstm1
190	3	ENSMUSG00000028127	570.0	0.285	NC	Abcd3
191	3	ENSMUSG00000037174	452.0	0.226	NC	Elf2
192	3	ENSMUSG00000049940	1175.0	0.5875	NC	Pgrmc2
193	3	ENSMUSG00000027782	720.0	0.36	NC	Kpna4
194	3	ENSMUSG00000092607	735.0	0.3675	NC	Scnm1
195	3	ENSMUSG00000027879	550.0	0.275	NC	Sec22b
196	3	ENSMUSG00000028152	658.0	0.329	NC	Tspan5
197	3	ENSMUSG00000047213	735.0	0.3675	NC	Ythdf3
198	3	ENSMUSG00000054091	490.0	0.245	NC	1810037I17Rik
199	3	ENSMUSG00000004591	125.0	0.0625	NC	Pkn2
200	3	ENSMUSG00000033222	910.0	0.455	NC	Ttf2
201	3	ENSMUSG00000028098	755.0	0.3775	NC	Rnf115
202	3	ENSMUSG00000038256	840.0	0.42	NC	Bcl9
203	3	ENSMUSG00000001018	575.0	0.2875	NC	Snapin
204	3	ENSMUSG00000027714	676.0	0.338	NC	Exosc9
205	3	ENSMUSG00000028101	780.0	0.39	NC	Pias3
206	3	ENSMUSG00000027883	992.0	0.496	NC	Gpsm2
207	3	ENSMUSG00000038526	970.0	0.485	NC	Car14
208	3	ENSMUSG00000036834	1040.0	0.52	NC	Plch1
209	3	ENSMUSG00000041263	855.0	0.4275	NC	Rusc1
210	3	ENSMUSG00000019338	1840.0	0.92	NC	Zfp687
211	3	ENSMUSG00000027808	735.0	0.3675	NC	Serp1
212	3	ENSMUSG00000033014	411.0	0.2055	NC	Trim33
